Recovered from https://docs.aws.amazon.com/guardduty/latest/ug/guardduty_regions.html
Table 1 follows the heading: IAM finding type CredentialAccess:IAMUser/CompromisedCredentials
Table 2 follows the heading: Amazon EC2 finding types DefenseEvasion:EC2/UnusualDoHActivity and DefenseEvasion:EC2/UnusualDoTActivity

AWS Region | Region code
AWS GovCloud (US-West) | us-gov-west-1
AWS GovCloud (US-East) | us-gov-east-1
China (Beijing) | cn-north-1
China (Ningxia) | cn-northwest-1

AWS Region | Region code
Asia Pacific (Seoul) | ap-northeast-2
Asia Pacific (Osaka) | ap-northeast-3
Asia Pacific (Jakarta) | ap-southeast-3
